"""Notes""	""Census Division""	""Census Division Code""	""Gender""	""Gender Code""	""Race""	""Race Code""	""Year""	""Year Code""	""Place of Death""	""Place of Death Code""	Deaths	Population	Crude Rate"
"""Division 1: New England""	""CENS-D1""	""Female""	""F""	""Asian or Pacific Islander""	""A-PI""	""2007""	""2007""	""Nursing home/long term care""	""6""	11	Not Applicable	Not Applicable"
"""Division 1: New England""	""CENS-D1""	""Female""	""F""	""Asian or Pacific Islander""	""A-PI""	""2009""	""2009""	""Nursing home/long term care""	""6""	12	Not Applicable	Not Applicable"
"""Division 1: New England""	""CENS-D1""	""Female""	""F""	""Asian or Pacific Islander""	""A-PI""	""2010""	""2010""	""Nursing home/long term care""	""6""	14	Not Applicable	Not Applicable"
"""Division 1: New England""	""CENS-D1""	""Female""	""F""	""Asian or Pacific Islander""	""A-PI""	""2011""	""2011""	""Nursing home/long term care""	""6""	16	Not Applicable	Not Applicable"
"""Division 1: New England""	""CENS-D1""	""Female""	""F""	""Asian or Pacific Islander""	""A-PI""	""2012""	""2012""	""Nursing home/long term care""	""6""	22	Not Applicable	Not Applicable"
"""Division 1: New England""	""CENS-D1""	""Female""	""F""	""Asian or Pacific Islander""	""A-PI""	""2013""	""2013""	""Nursing home/long term care""	""6""	23	Not Applicable	Not Applicable"
"""Division 1: New England""	""CENS-D1""	""Female""	""F""	""Asian or Pacific Islander""	""A-PI""	""2014""	""2014""	""Nursing home/long term care""	""6""	28	Not Applicable	Not Applicable"
"""Division 1: New England""	""CENS-D1""	""Female""	""F""	""Asian or Pacific Islander""	""A-PI""	""2015""	""2015""	""Decedent's home""	""4""	11	Not Applicable	Not Applicable"
"""Division 1: New England""	""CENS-D1""	""Female""	""F""	""Asian or Pacific Islander""	""A-PI""	""2015""	""2015""	""Nursing home/long term care""	""6""	32	Not Applicable	Not Applicable"
"""Division 1: New England""	""CENS-D1""	""Female""	""F""	""Asian or Pacific Islander""	""A-PI""	""2016""	""2016""	""Decedent's home""	""4""	15	Not Applicable	Not Applicable"
"""Division 1: New England""	""CENS-D1""	""Female""	""F""	""Asian or Pacific Islander""	""A-PI""	""2016""	""2016""	""Nursing home/long term care""	""6""	28	Not Applicable	Not Applicable"
"""Division 1: New England""	""CENS-D1""	""Female""	""F""	""Asian or Pacific Islander""	""A-PI""	""2017""	""2017""	""Medical Facility - Inpatient""	""1""	10	Not Applicable	Not Applicable"
"""Division 1: New England""	""CENS-D1""	""Female""	""F""	""Asian or Pacific Islander""	""A-PI""	""2017""	""2017""	""Decedent's home""	""4""	17	Not Applicable	Not Applicable"
